datetime,granularity,style,variation,model,n_samples,precision,recall,micro_f1,macro_f1,f1_event,f1_product,f1_other,f1_location,f1_person,f1_art,f1_organization,f1_building,f1_organization-showorganization,f1_event-election,f1_building-theater,f1_building-sportsfacility,f1_location-other,f1_organization-sportsleague,f1_other-law,f1_location-GPE,f1_product-food,f1_product-game,f1_art-broadcastprogram,f1_other-chemicalthing,f1_product-airplane,f1_organization-education,f1_person-scholar,f1_organization-company,f1_location-mountain,f1_organization-religion,f1_person-soldier,f1_location-park,f1_art-writtenart,f1_other-biologything,f1_art-painting,f1_building-library,f1_organization-sportsteam,f1_art-other,f1_building-other,f1_organization-media/newspaper,f1_building-hospital,f1_building-hotel,f1_location-island,f1_art-film,f1_person-artist/author,f1_person-athlete,f1_other-educationaldegree,f1_product-ship,f1_other-currency,f1_location-bodiesofwater,f1_building-airport,f1_building-restaurant,f1_person-director,f1_other-disease,f1_event-disaster,f1_other-livingthing,f1_location-road/railway/highway/transit,f1_organization-other,f1_product-train,f1_other-astronomything,f1_person-politician,f1_person-other,f1_other-god,f1_other-medical,f1_organization-government/governmentagency,f1_organization-politicalparty,f1_event-protest,f1_event-sportsevent,f1_event-other,f1_product-software,f1_event-attack/battle/war/militaryconflict,f1_art-music,f1_product-other,f1_product-weapon,f1_other-award,f1_product-car,f1_other-language,f1_person-actor
2026-02-13 10:28:01,fine,nl,backtrans_tu,qwen2.5-coder:7b,3765,0.4113,0.2227,0.289,0.3059,,,,,,,,,0.0947,0.0,0.5882,0.425,0.1164,0.255,0.4156,0.2793,0.2667,0.3636,0.2857,0.1803,0.3333,0.5138,0.1846,0.2744,0.3776,0.25,0.1277,0.4098,0.2979,0.1818,0.7,0.6042,0.4579,0.0282,0.2921,0.2857,0.575,0.439,0.2909,0.4539,0.3148,0.5498,0.3556,0.25,0.2581,0.4235,0.4,0.3462,0.3366,0.3385,0.25,0.0484,0.4339,0.1286,0.2,0.3108,0.1662,0.2156,0.3429,0.1127,0.1696,0.3077,0.1356,0.3333,0.0469,0.2205,0.4431,0.4044,0.2113,0.25,0.4675,0.4842,0.4074,0.1753
2026-02-13 10:13:46,fine,nl,backtrans_tu,qwen2.5:7b,3765,0.3545,0.1262,0.1861,0.2139,,,,,,,,,0.0263,0.1143,0.3023,0.4776,0.1041,0.1692,0.3733,0.1177,0.2105,0.3333,0.1368,0.2837,0.2114,0.2836,0.0202,0.16,0.3269,0.2095,0.2045,0.2933,0.1961,0.1255,0.1111,0.4675,0.3515,0.017,0.157,0.1566,0.2909,0.359,0.2295,0.25,0.1615,0.2873,0.1633,0.1875,0.3455,0.3246,0.2571,0.2564,0.338,0.2419,0.3684,0.0423,0.32,0.1137,0.1944,0.2586,0.0842,0.2075,0.1395,0.0541,0.1262,0.3057,0.0513,0.1643,0.0367,0.1525,0.3827,0.2888,0.1095,0.1961,0.2647,0.2828,0.1474,0.1929
2026-02-13 09:36:49,fine,nl,backtrans_sp,qwen2.5-coder:7b,3765,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13 08:37:30,fine,nl,backtrans_sp,qwen2.5:7b,3765,0.3498,0.008,0.0156,0.02,,,,,,,,,0.0,0.0,0.0702,0.0,0.0131,0.0,0.0,0.0129,0.0,0.1463,0.0976,0.0,0.0,0.0,0.0,0.0104,0.0,0.0235,0.0,0.0,0.0,0.0,0.0,0.0,0.0275,0.0,0.0076,0.0155,0.0571,0.0952,0.1667,0.0652,0.0314,0.0,0.0,0.0,0.0,0.0299,0.0476,0.0,0.04,0.0,0.0,0.0,0.0108,0.0043,0.0,0.0,0.0075,0.0239,0.0,0.0345,0.0,0.0,0.0,0.011,0.0,0.0,0.043,0.0522,0.0,0.0,0.0404,0.1212,0.0,0.0117
2026-02-13 08:22:57,fine,nl,backtrans_ch,qwen2.5-coder:7b,3765,0.4,0.2607,0.3157,0.2988,,,,,,,,,0.1091,0.0,0.64,0.4396,0.1556,0.38,0.45,0.3816,0.16,0.4324,0.1692,0.1653,0.3333,0.5437,0.1359,0.3558,0.4341,0.1553,0.0917,0.4324,0.2297,0.22,0.2857,0.5349,0.5219,0.0161,0.3032,0.356,0.5682,0.4651,0.3736,0.3804,0.4066,0.5927,0.275,0.26,0.2653,0.438,0.4593,0.3673,0.422,0.2941,0.3333,0.0,0.3551,0.1724,0.2857,0.2169,0.087,0.2561,0.1892,0.1918,0.2576,0.407,0.1961,0.198,0.065,0.1416,0.3893,0.2299,0.1777,0.1609,0.4103,0.4554,0.3238,0.2188
2026-02-13 07:33:34,fine,nl,backtrans_ch,qwen2.5:7b,3765,0.423,0.259,0.3213,0.2837,,,,,,,,,0.0513,0.2,0.6095,0.5641,0.1296,0.3103,0.4416,0.3982,0.5357,0.3784,0.08,0.087,0.3922,0.4746,0.0449,0.4871,0.3471,0.233,0.0588,0.4783,0.0921,0.1812,0.0,0.5806,0.4781,0.0,0.2729,0.4039,0.3279,0.4545,0.4524,0.1452,0.2805,0.4361,0.3333,0.0968,0.2718,0.4196,0.42,0.1667,0.5435,0.2791,0.4255,0.0,0.4965,0.1838,0.2933,0.2073,0.0903,0.3851,0.2571,0.0385,0.2936,0.3804,0.1509,0.1775,0.1046,0.1261,0.5087,0.0323,0.1309,0.1395,0.4,0.3738,0.1649,0.4274
2026-02-13 07:08:18,fine,nl,sentence_reordering,qwen2.5-coder:7b,3765,0.3947,0.1879,0.2546,0.2719,,,,,,,,,0.0513,0.0,0.5361,0.5,0.1272,0.2059,0.3429,0.2189,0.2727,0.4444,0.2794,0.192,0.3597,0.4437,0.1912,0.1926,0.3692,0.2581,0.1279,0.2991,0.2963,0.1329,0.6364,0.6,0.4352,0.0,0.2518,0.2873,0.4412,0.3636,0.2453,0.4342,0.3265,0.4805,0.1111,0.1067,0.2444,0.3839,0.3609,0.3333,0.321,0.2241,0.2,0.0561,0.3358,0.1076,0.1404,0.3636,0.1582,0.19,0.1667,0.1681,0.2018,0.3268,0.1455,0.2955,0.0752,0.2205,0.4076,0.339,0.1721,0.2,0.3566,0.3871,0.3107,0.1951
2026-02-13 06:23:12,fine,nl,sentence_reordering,qwen2.5:7b,3765,0.3633,0.161,0.2231,0.2313,,,,,,,,,0.1132,0.1053,0.4124,0.4474,0.1279,0.1752,0.3291,0.1853,0.2857,0.4615,0.1653,0.2436,0.189,0.3838,0.0404,0.1838,0.3509,0.2105,0.1923,0.4634,0.2807,0.1473,0.1111,0.4471,0.4055,0.0441,0.2318,0.2069,0.2857,0.25,0.1758,0.2835,0.2222,0.3393,0.1379,0.1562,0.3448,0.3116,0.2933,0.1818,0.3704,0.2362,0.3333,0.093,0.3333,0.1246,0.1795,0.2586,0.1607,0.2692,0.119,0.043,0.0591,0.2384,0.0435,0.1459,0.0458,0.1832,0.3699,0.2892,0.1467,0.2243,0.3022,0.2824,0.2449,0.25
2026-02-13 06:22:45,fine,nl,reodering,qwen2.5-coder:7b,3765,0.3825,0.1878,0.2519,0.2804,,,,,,,,,0.0571,0.0,0.5053,0.3636,0.1384,0.1944,0.4359,0.2032,0.2373,0.3544,0.3908,0.2266,0.3265,0.4054,0.2087,0.186,0.4062,0.2759,0.14,0.4158,0.1562,0.1135,0.6667,0.5952,0.4327,0.0,0.2286,0.3469,0.55,0.4082,0.3299,0.2679,0.3296,0.4422,0.3226,0.234,0.2435,0.3433,0.5432,0.2439,0.3797,0.3472,0.1728,0.0513,0.3746,0.1162,0.1818,0.4298,0.2149,0.1443,0.2368,0.0909,0.2353,0.2345,0.0896,0.241,0.0182,0.2069,0.35,0.3439,0.1304,0.1782,0.4286,0.3495,0.3729,0.3167
2026-02-13 05:14:45,fine,nl,reodering,qwen2.5:7b,3765,0.3352,0.1373,0.1949,0.1979,,,,,,,,,0.0,0.0714,0.3684,0.4242,0.1138,0.2027,0.3291,0.1777,0.2807,0.2097,0.1356,0.1846,0.2236,0.2701,0.0417,0.196,0.2857,0.2261,0.1569,0.3953,0.0708,0.1163,0.0,0.2727,0.272,0.0988,0.1534,0.2471,0.3396,0.3429,0.25,0.2353,0.2587,0.3711,0.0741,0.1928,0.3651,0.3905,0.3158,0.125,0.381,0.2481,0.05,0.0,0.249,0.1361,0.1515,0.2283,0.1486,0.1727,0.1556,0.0,0.0905,0.2368,0.0,0.1044,0.0,0.1101,0.3088,0.2029,0.1073,0.0714,0.2308,0.3125,0.2653,0.3154
