datetime,granularity,style,variation,model,n_samples,precision,recall,micro_f1,macro_f1,result_file,f1_Art,f1_ArtBroadcastProgram,f1_ArtFilm,f1_ArtMusic,f1_ArtOther,f1_ArtPainting,f1_ArtWrittenart,f1_Building,f1_BuildingAirport,f1_BuildingHospital,f1_BuildingHotel,f1_BuildingLibrary,f1_BuildingOther,f1_BuildingRestaurant,f1_BuildingSportsfacility,f1_BuildingTheater,f1_Event,f1_EventAttackBattleWarMilitaryConflict,f1_EventDisaster,f1_EventElection,f1_EventOther,f1_EventProtest,f1_EventSportsevent,f1_Location,f1_LocationBodiesofwater,f1_LocationGPE,f1_LocationIsland,f1_LocationMountain,f1_LocationOther,f1_LocationPark,f1_LocationRoadRailwayHighwayTransit,f1_Organization,f1_OrganizationCompany,f1_OrganizationEducation,f1_OrganizationGovernmentGovernmentagency,f1_OrganizationMediaNewspaper,f1_OrganizationOther,f1_OrganizationPoliticalparty,f1_OrganizationReligion,f1_OrganizationShoworganization,f1_OrganizationSportsleague,f1_OrganizationSportsteam,f1_Other,f1_OtherAstronomything,f1_OtherAward,f1_OtherBiologything,f1_OtherChemicalthing,f1_OtherCurrency,f1_OtherDisease,f1_OtherEducationaldegree,f1_OtherGod,f1_OtherLanguage,f1_OtherLaw,f1_OtherLivingthing,f1_OtherMedical,f1_Person,f1_PersonActor,f1_PersonArtistAuthor,f1_PersonAthlete,f1_PersonDirector,f1_PersonOther,f1_PersonPolitician,f1_PersonScholar,f1_PersonSoldier,f1_Product,f1_ProductAirplane,f1_ProductCar,f1_ProductFood,f1_ProductGame,f1_ProductOther,f1_ProductShip,f1_ProductSoftware,f1_ProductTrain,f1_ProductWeapon
2026-02-11 22:10:03,fine,pl,v3,GoLLIE-7B,3765,0.5041,0.3886,0.4389,0.3844,annotation_guidelines.guidelines_fine_gollie_v3_20260211_221003.json,,0.2857,0.6541,0.6708,0.0,0.3077,0.3732,,0.48,0.5926,0.3729,0.3913,0.3175,0.2609,0.6216,0.625,,0.6386,0.6286,0.0909,0.1308,0.08,0.381,,0.5439,0.6497,0.3889,0.6099,0.0068,0.3585,0.3755,,0.5181,0.5938,0.3125,0.3214,0.0929,0.4753,0.3586,0.2949,0.4722,0.5269,,0.6372,0.5912,0.2759,0.3933,0.1429,0.3576,0.4878,0.4068,0.4425,0.5714,0.3609,0.2308,,0.3172,0.0729,0.6745,0.4118,0.2571,0.4494,0.3887,0.2222,,0.022,0.3524,0.25,0.4773,0.1412,0.4211,0.4658,0.3111,0.4375
2026-02-11 21:22:42,fine,pl,v2,GoLLIE-7B,3765,0.5064,0.3952,0.444,0.3888,annotation_guidelines.guidelines_fine_gollie_v2_20260211_212242.json,,0.3423,0.6339,0.6584,0.0,0.2857,0.4066,,0.5536,0.5517,0.3667,0.3762,0.3526,0.2727,0.6286,0.6316,,0.6588,0.6286,0.0833,0.1391,0.16,0.3832,,0.5505,0.6531,0.3421,0.604,0.0201,0.4,0.3431,,0.5151,0.5866,0.3069,0.3253,0.1071,0.4874,0.3586,0.1958,0.2791,0.5164,,0.6903,0.5949,0.2627,0.4103,0.2353,0.3613,0.45,0.4138,0.4364,0.5773,0.3051,0.2174,,0.3365,0.1009,0.6792,0.4384,0.2663,0.4708,0.4218,0.2122,,0.2222,0.3854,0.1765,0.4691,0.1477,0.4051,0.5229,0.3256,0.4211
2026-02-11 20:34:25,fine,pl,v1,GoLLIE-7B,3765,0.5017,0.3892,0.4383,0.3838,annotation_guidelines.guidelines_fine_gollie_v1_20260211_203425.json,,0.3636,0.6628,0.6584,0.0,0.3077,0.4021,,0.5203,0.5287,0.3929,0.3871,0.3722,0.2609,0.5897,0.6122,,0.6587,0.5882,0.087,0.0917,0.08,0.3765,,0.5565,0.6392,0.3947,0.5655,0.0316,0.413,0.1294,,0.5217,0.6087,0.3133,0.3392,0.1213,0.4891,0.3521,0.2785,0.4375,0.5302,,0.6838,0.6038,0.2054,0.4095,0.2069,0.3522,0.359,0.386,0.4425,0.5905,0.4,0.2174,,0.3241,0.1345,0.6767,0.5067,0.235,0.4592,0.3936,0.2199,,0.2095,0.3646,0.0667,0.5116,0.139,0.4156,0.4173,0.2979,0.4421
2026-02-11 19:50:20,fine,pl,backtranslated_v3,GoLLIE-7B,3765,0.4989,0.3932,0.4398,0.3892,annotation_guidelines.guidelines_fine_gollie_backtranslated_v3_20260211_195020.json,,0.3261,0.641,0.507,0.0755,0.2667,0.3363,,0.4462,0.5,0.4314,0.4065,0.4535,0.2609,0.6479,0.5688,,0.631,0.5455,0.0952,0.1391,0.0,0.3742,,0.4899,0.6169,0.4638,0.5116,0.0068,0.3838,0.5825,,0.5492,0.5973,0.3425,0.4739,0.1841,0.5345,0.4076,0.2989,0.2037,0.5013,,0.72,0.5854,0.2,0.3494,0.1647,0.4,0.3333,0.4262,0.487,0.5825,0.3862,0.4615,,0.3356,0.0734,0.6708,0.4658,0.2718,0.4461,0.3948,0.1948,,0.1923,0.3568,0.129,0.5,0.0706,0.4103,0.4615,0.4,0.4167
2026-02-11 19:01:23,fine,pl,backtranslated_v2,GoLLIE-7B,3765,0.5017,0.3925,0.4404,0.3851,annotation_guidelines.guidelines_fine_gollie_backtranslated_v2_20260211_190123.json,,0.0,0.6359,0.6897,0.0667,0.6667,0.4595,,0.5536,0.5432,0.4583,0.4742,0.3778,0.2308,0.6582,0.5545,,0.0,0.5882,0.16,0.3333,0.087,0.4067,,0.5217,0.6594,0.4225,0.6154,0.0068,0.3853,0.3614,,0.4995,0.5956,0.3229,0.4574,0.1243,0.3469,0.3947,0.1892,0.1698,0.4895,,0.7395,0.5696,0.2009,0.4268,0.175,0.359,0.4878,0.4286,0.4404,0.5474,0.3465,0.4815,,0.3483,0.0793,0.6527,0.375,0.2498,0.4351,0.363,0.2444,,0.16,0.3396,0.2424,0.5238,0.1429,0.3889,0.5369,0.2632,0.3636
2026-02-11 18:12:07,fine,pl,backtranslated_v1,GoLLIE-7B,3765,0.4999,0.3897,0.438,0.3889,annotation_guidelines.guidelines_fine_gollie_backtranslated_v1_20260211_181207.json,,0.0,0.6304,0.6932,0.0563,0.7368,0.4521,,0.566,0.481,0.4583,0.3871,0.3573,0.2609,0.6234,0.5957,,0.0,0.5714,0.1667,0.3265,0.087,0.4067,,0.5141,0.6415,0.3944,0.5839,0.0067,0.3913,0.3984,,0.5101,0.5895,0.3101,0.4536,0.1603,0.3979,0.3791,0.2065,0.1731,0.4813,,0.7805,0.5875,0.2338,0.4277,0.1266,0.3797,0.4762,0.4211,0.4545,0.5625,0.3651,0.4561,,0.3354,0.0679,0.6417,0.4118,0.2729,0.4435,0.4058,0.2462,,0.2569,0.3711,0.3889,0.5238,0.1333,0.4167,0.4058,0.2439,0.38
2026-02-11 17:27:58,fine,pl,default,GoLLIE-7B,3765,0.3433,0.3356,0.3394,0.3799,annotation_guidelines.guidelines_fine_gollie_20260211_172758.json,,0.3107,0.6593,0.6242,0.0,0.7368,0.4171,,0.4748,0.5176,0.4231,0.3878,0.3711,0.25,0.6329,0.5472,,0.6667,0.6286,0.0909,0.0971,0.1538,0.3615,,0.5687,0.0,0.4,0.5422,0.0,0.4,0.4331,,0.546,0.5854,0.3033,0.4729,0.1051,0.5385,0.349,0.2874,0.1731,0.4928,,0.7069,0.5926,0.1448,0.3758,0.1739,0.3902,0.4,0.3793,0.4505,0.5962,0.3731,0.4912,,0.2815,0.0376,0.696,0.4722,0.056,0.4286,0.4214,0.2316,,0.2202,0.3676,0.303,0.4368,0.1304,0.3056,0.3281,0.3396,0.3922
2026-02-11 17:05:19,coarse,pl,v3,GoLLIE-7B,3765,0.733,0.5658,0.6386,0.542,annotation_guidelines.guidelines_coarse_gollie_v3_20260211_170519.json,0.6201,,,,,,,0.5579,,,,,,,,,0.4371,,,,,,,0.6682,,,,,,,,0.6266,,,,,,,,,,,0.1266,,,,,,,,,,,,,0.8412,,,,,,,,,0.4579,,,,,,,,,
2026-02-11 16:42:11,coarse,pl,v2,GoLLIE-7B,3765,0.731,0.5709,0.6411,0.5631,annotation_guidelines.guidelines_coarse_gollie_v2_20260211_164211.json,0.6408,,,,,,,0.5816,,,,,,,,,0.4457,,,,,,,0.6559,,,,,,,,0.6268,,,,,,,,,,,0.2635,,,,,,,,,,,,,0.8368,,,,,,,,,0.4539,,,,,,,,,
2026-02-11 16:19:11,coarse,pl,v1,GoLLIE-7B,3765,0.7271,0.5685,0.6381,0.5575,annotation_guidelines.guidelines_coarse_gollie_v1_20260211_161911.json,0.638,,,,,,,0.5589,,,,,,,,,0.4659,,,,,,,0.6554,,,,,,,,0.6281,,,,,,,,,,,0.2232,,,,,,,,,,,,,0.8364,,,,,,,,,0.4541,,,,,,,,,
